Date,Open,High,Low,Close,Adj Close,Volume
2016-08-30,5.420000,5.530000,5.412000,5.520000,4.428773,27069395
2016-08-31,5.500000,5.634000,5.488000,5.578000,4.475308,33778824
2016-09-01,5.578000,5.734000,5.564000,5.598000,4.491353,28568009
2016-09-02,5.620000,5.701000,5.516000,5.690000,4.565166,19277121
2016-09-05,5.690000,5.735000,5.640000,5.696000,4.569981,16642036
2016-09-06,5.734000,5.740000,5.590000,5.592000,4.486540,19130209
2016-09-07,5.629000,5.680000,5.546000,5.657000,4.538691,16420204
2016-09-08,5.657000,5.765000,5.605000,5.751000,4.614109,24212245
2016-09-09,5.740000,5.842000,5.694000,5.695000,4.569178,28044028
2016-09-12,5.565000,5.600000,5.465000,5.556000,4.457657,25511115
2016-09-13,5.573000,5.608000,5.425000,5.425000,4.352553,34630480
2016-09-14,5.430000,5.438000,5.348000,5.365000,4.304414,27236326
2016-09-15,5.393000,5.440000,5.281000,5.328000,4.274729,26232850
2016-09-16,5.299000,5.320000,5.216000,5.232000,4.197707,64231569
2016-09-19,5.309000,5.317000,5.250000,5.262000,4.221776,18869084
2016-09-20,5.231000,5.280000,5.202000,5.237300,4.201959,21819142
2016-09-21,5.370000,5.418000,5.317000,5.373000,4.310833,23885161
2016-09-22,5.426000,5.553000,5.391000,5.524000,4.431983,63784751
2016-09-23,5.477000,5.506000,5.410000,5.486000,4.401495,25176775
2016-09-26,5.425000,5.425000,5.245000,5.311000,4.261089,69202353
2016-09-27,5.400000,5.400000,5.237000,5.297000,4.249857,26363756
2016-09-28,5.333000,5.420000,5.320000,5.344000,4.287566,18302567
2016-09-29,5.400000,5.432000,5.334000,5.351000,4.293181,20241190
2016-09-30,5.200000,5.389000,5.101000,5.382000,4.318053,59443516
2016-10-03,5.284000,5.349000,5.241000,5.288000,4.306652,18194113
2016-10-04,5.305000,5.351000,5.253000,5.313000,4.327013,24883495
2016-10-05,5.260000,5.435000,5.250000,5.419000,4.413342,34272644
2016-10-06,5.448000,5.548000,5.435000,5.460000,4.446732,100068085
2016-10-07,5.485000,5.524000,5.359000,5.428000,4.420671,23365045
2016-10-10,5.408000,5.478000,5.343000,5.465000,4.450805,36150247
2016-10-11,5.458000,5.644000,5.422000,5.628000,4.583555,70061105
2016-10-12,5.637000,5.738000,5.624000,5.654000,4.604730,24496836
2016-10-13,5.602000,5.602000,5.470000,5.542000,4.513514,33072245
2016-10-14,5.579000,5.745000,5.566000,5.702000,4.643822,27708293
2016-10-17,5.683000,5.780000,5.666000,5.723000,4.660924,29097839
2016-10-18,5.794000,5.926000,5.758000,5.895000,4.801005,58623444
2016-10-19,5.929000,6.019000,5.852000,6.012000,4.896292,45123186
2016-10-20,6.062000,6.229000,6.038000,6.203000,5.051847,68071004
2016-10-21,6.203000,6.250000,6.111000,6.170000,5.024970,44040362
2016-10-24,6.250000,6.407000,6.230000,6.368000,5.186226,42170551
2016-10-25,6.377000,6.384000,6.263000,6.302000,5.132474,32684935
2016-10-26,6.320000,6.430000,6.318000,6.430000,5.236720,32292779
2016-10-27,6.480000,6.610000,6.409000,6.610000,5.383316,56223559
2016-10-28,6.600000,6.610000,6.501000,6.590000,5.367028,60180564
2016-10-31,6.500000,6.600000,6.490000,6.578000,5.357254,42090228
2016-11-01,6.620000,6.645000,6.422000,6.436000,5.241606,31379278
2016-11-02,6.347000,6.350000,6.181000,6.181000,5.033929,44351496
2016-11-03,6.201000,6.343000,6.183000,6.256000,5.095011,29791726
2016-11-04,6.224000,6.243000,6.125000,6.196000,5.046145,25201765
2016-11-07,6.411000,6.441000,6.348000,6.390000,5.204144,23927381
2016-11-08,6.440000,6.529000,6.391000,6.490000,5.285585,30526603
2016-11-09,5.913000,6.123000,5.850000,6.120000,4.984250,174978962
2016-11-10,6.180000,6.283000,5.980000,6.050000,4.927241,74358920
2016-11-11,6.113000,6.130000,5.878000,5.912000,4.814851,42853840
2016-11-14,5.965000,6.030000,5.815000,5.931000,4.830325,45560111
2016-11-15,5.933000,6.015000,5.837000,6.000000,4.886519,32069182
2016-11-16,6.043000,6.105000,5.910000,5.969000,4.861272,32393923
2016-11-17,5.920000,6.040000,5.900000,6.029000,4.910137,35282741
2016-11-18,6.070000,6.076000,5.859000,5.859000,4.771686,87046558
